,#,Glycan,Antenna 1,Antenna 2,Antenna 3,Antenna 4,Formula,Monoisotopic mass,Man,Fuc,Bisecting Gn,Host Cell Line,NSa,NGn,NGal,NHex
0,1,M3,None,None,None,None,C34H56N2O25,892.317,3,0,0,CHO-N-glycan,0,0,0,0
1,2,M4,None,None,None,None,C40H66N2O30,1054.37,4,0,0,CHO-N-glycan,0,0,0,1
2,3,M5,None,None,None,None,C46H76N2O35,1216.42,5,0,0,CHO-N-glycan,0,0,0,2
3,4,M6,None,None,None,None,C52H86N2O40,1378.48,6,0,0,CHO-N-glycan,0,0,0,3
4,5,M7,None,None,None,None,C58H96N2O45,1540.53,7,0,0,CHO-N-glycan,0,0,0,4
5,6,M8,None,None,None,None,C64H106N2O50,1702.58,8,0,0,CHO-N-glycan,0,0,0,5
6,7,M9,None,None,None,None,C70H116N2O55,1864.63,9,0,0,CHO-N-glycan,0,0,0,6
7,8,A1G0,Gn-,None,None,None,C42H69N3O30,1095.4,3,0,0,CHO-N-glycan,0,1,0,0
8,9,A1G0F,Gn-,None,None,None,C48H79N3O34,1241.45,3,1,0,CHO-N-glycan,0,1,0,0
9,10,A1G0M4,Gn-,None,None,None,C48H79N3O35,1257.45,4,0,0,CHO-N-glycan,0,1,0,1
10,11,A1G0M4F,Gn-,None,None,None,C54H89N3O39,1403.51,4,1,0,CHO-N-glycan,0,1,0,1
11,12,A1G0M5,Gn-,None,None,None,C54H89N3O40,1419.5,5,0,0,CHO-N-glycan,0,1,0,2
12,13,A1G0M5F,Gn-,None,None,None,C60H99N3O44,1565.56,5,1,0,CHO-N-glycan,0,1,0,2
13,14,A2G0,Gn-,None,Gn-,None,C50H82N4O35,1298.48,3,0,0,CHO-N-glycan,0,2,0,0
14,15,A2G0F,Gn-,None,Gn-,None,C56H92N4O39,1444.53,3,1,0,CHO-N-glycan,0,2,0,0
15,16,A2G0M4,Gn-,Gn-,None,None,C56H92N4O40,1460.53,4,0,0,CHO-N-glycan,0,2,0,1
16,17,A2G0M5,Gn-,Gn-,None,None,C62H102N4O45,1622.58,5,0,0,CHO-N-glycan,0,2,0,2
17,18,A2G0M5F,Gn-,Gn-,None,None,C68H112N4O49,1768.64,5,1,0,CHO-N-glycan,0,2,0,2
18,19,A3G0,Gn-,Gn-,Gn-,None,C58H95N5O40,1501.56,3,0,0,CHO-N-glycan,0,3,0,0
19,20,A3G0F,Gn-,Gn-,Gn-,None,C64H105N5O44,1647.61,3,1,0,CHO-N-glycan,0,3,0,0
20,21,A4G0,Gn-,Gn-,Gn-,Gn-,C66H108N6O45,1704.63,3,0,0,CHO-N-glycan,0,4,0,0
21,22,A4G0F,Gn-,Gn-,Gn-,Gn-,C72H118N6O49,1850.69,3,1,0,CHO-N-glycan,0,4,0,0
22,23,A1G1,G-Gn-,None,None,None,C48H79N3O35,1257.45,3,0,0,CHO-N-glycan,0,1,1,1
23,24,A1G1F,G-Gn-,None,None,None,C54H89N3O39,1403.51,3,1,0,CHO-N-glycan,0,1,1,1
24,25,A1G1M4,G-Gn-,None,None,None,C54H89N3O40,1419.5,4,0,0,CHO-N-glycan,0,1,1,2
25,26,A1G1M4F,G-Gn-,None,None,None,C60H99N3O44,1565.56,4,1,0,CHO-N-glycan,0,1,1,2
26,27,A1G1M5,G-Gn-,None,None,None,C60H99N3O45,1581.56,5,0,0,CHO-N-glycan,0,1,1,3
27,28,A1G1M5F,G-Gn-,None,None,None,C66H109N3O49,1727.61,5,1,0,CHO-N-glycan,0,1,1,3
28,29,A2G1,G-Gn-,None,Gn-,None,C56H92N4O40,1460.53,3,0,0,CHO-N-glycan,0,2,1,1
29,30,A2G1F,G-Gn-,None,Gn-,None,C62H102N4O44,1606.59,3,1,0,CHO-N-glycan,0,2,1,1
30,31,A2G2,G-Gn-,None,G-Gn-,None,C62H102N4O45,1622.58,3,0,0,CHO-N-glycan,0,2,2,2
31,32,A2G2F,G-Gn-,None,G-Gn-,None,C68H112N4O49,1768.64,3,1,0,CHO-N-glycan,0,2,2,2
32,33,A2G1M4,G-Gn-,Gn-,None,None,C62H102N4O45,1622.58,4,0,0,CHO-N-glycan,0,2,1,2
33,34,A2G1M4F,G-Gn-,Gn-,None,None,C68H112N4O49,1768.64,4,1,0,CHO-N-glycan,0,2,1,2
34,35,A2G1M5,G-Gn-,Gn-,None,None,C68H112N4O50,1784.63,5,0,0,CHO-N-glycan,0,2,1,3
35,36,A2G1M5F,G-Gn-,Gn-,None,None,C74H122N4O54,1930.69,5,1,0,CHO-N-glycan,0,2,1,3
36,37,A3G1,G-Gn-,Gn-,Gn-,None,C64H105N5O45,1663.61,3,0,0,CHO-N-glycan,0,3,1,1
37,38,A3G1F,G-Gn-,Gn-,Gn-,None,C70H115N5O49,1809.67,3,1,0,CHO-N-glycan,0,3,1,1
38,39,A4G1,G-Gn-,Gn-,Gn-,Gn-,C72H118N6O50,1866.69,3,0,0,CHO-N-glycan,0,4,1,1
39,40,A4G1F,G-Gn-,Gn-,Gn-,Gn-,C78H128N6O54,2012.75,3,1,0,CHO-N-glycan,0,4,1,1
40,41,A2G2M4,G-Gn-,G-Gn-,None,None,C68H112N4O50,1784.63,4,0,0,CHO-N-glycan,0,2,2,3
41,42,A2G2M4F,G-Gn-,G-Gn-,None,None,C74H122N4O54,1930.69,4,1,0,CHO-N-glycan,0,2,2,3
42,43,A2G2M5,G-Gn-,G-Gn-,None,None,C74H122N4O55,1946.69,5,0,0,CHO-N-glycan,0,2,2,4
43,44,A2G2M5F,G-Gn-,G-Gn-,None,None,C80H132N4O59,2092.75,5,1,0,CHO-N-glycan,0,2,2,4
44,45,A3G2,G-Gn-,G-Gn-,Gn-,None,C70H115N5O50,1825.66,3,0,0,CHO-N-glycan,0,3,2,2
45,46,A3G2F,G-Gn-,G-Gn-,Gn-,None,C76H125N5O54,1971.72,3,1,0,CHO-N-glycan,0,3,2,2
46,47,A4G2,G-Gn-,G-Gn-,Gn-,Gn-,C78H128N6O55,2028.74,3,0,0,CHO-N-glycan,0,4,2,2
47,48,A4G2F,G-Gn-,G-Gn-,Gn-,Gn-,C84H138N6O59,2174.8,3,1,0,CHO-N-glycan,0,4,2,2
48,49,A3G3,G-Gn-,G-Gn-,G-Gn-,None,C76H125N5O55,1987.71,3,0,0,CHO-N-glycan,0,3,3,3
49,50,A3G3F,G-Gn-,G-Gn-,G-Gn-,None,C82H135N5O59,2133.77,3,1,0,CHO-N-glycan,0,3,3,3
50,51,A4G3,G-Gn-,G-Gn-,G-Gn-,Gn-,C84H138N6O60,2190.79,3,0,0,CHO-N-glycan,0,4,3,3
51,52,A4G3F,G-Gn-,G-Gn-,G-Gn-,Gn-,C90H148N6O64,2336.85,3,1,0,CHO-N-glycan,0,4,3,3
52,53,A4G4,G-Gn-,G-Gn-,G-Gn-,G-Gn-,C90H148N6O65,2352.85,3,0,0,CHO-N-glycan,0,4,4,4
53,54,A4G4F,G-Gn-,G-Gn-,G-Gn-,G-Gn-,C96H158N6O69,2498.9,3,1,0,CHO-N-glycan,0,4,4,4
54,55,A1S1,S-G-Gn-,None,None,None,C59H96N4O43,1548.54,3,0,0,CHO-N-glycan,1,1,1,1
55,56,A1S1F,S-G-Gn-,None,None,None,C65H106N4O47,1694.6,3,1,0,CHO-N-glycan,1,1,1,1
56,57,A1S1M4,S-G-Gn-,None,None,None,C65H106N4O48,1710.6,4,0,0,CHO-N-glycan,1,1,1,2
57,58,A1S1M4F,S-G-Gn-,None,None,None,C71H116N4O52,1856.66,4,1,0,CHO-N-glycan,1,1,1,2
58,59,A1S1M5,S-G-Gn-,None,None,None,C71H116N4O53,1872.65,5,0,0,CHO-N-glycan,1,1,1,3
59,60,A1S1M5F,S-G-Gn-,None,None,None,C77H126N4O57,2018.71,5,1,0,CHO-N-glycan,1,1,1,3
60,61,A2S1G0,S-G-Gn-,None,Gn-,None,C67H109N5O48,1751.62,3,0,0,CHO-N-glycan,1,2,1,1
61,62,A2S1G0F,S-G-Gn-,None,Gn-,None,C73H119N5O52,1897.68,3,1,0,CHO-N-glycan,1,2,1,1
62,63,A2S1G1,S-G-Gn-,None,G-Gn-,None,C73H119N5O53,1913.68,3,0,0,CHO-N-glycan,1,2,2,2
63,64,A2S1G1F,S-G-Gn-,None,G-Gn-,None,C79H129N5O57,2059.73,3,1,0,CHO-N-glycan,1,2,2,2
64,65,A2S2,S-G-Gn-,None,S-G-Gn-,None,C84H136N6O61,2204.77,3,0,0,CHO-N-glycan,2,2,2,2
65,66,A2S2F,S-G-Gn-,None,S-G-Gn-,None,C90H146N6O65,2350.83,3,1,0,CHO-N-glycan,2,2,2,2
