nuclide,mass,uncertainty
1H,1.007825035,0.000000012
2H,2.014101779,0.000000024
3H,3.016049268,0.000000036
3He,3.016029307,0.000000036
4H,4.027739432,0.000412357
4He,4.002603241,0.000000052
4Li,4.02697227,0.000322062
5He,5.012223592,0.000053677
5Li,5.012537774,0.000053677
6He,6.018885989,0.000001026
6Li,6.015121379,0.000000746
6Be,6.019724869,0.000005896
7He,7.028029385,0.000032217
7Li,7.016003002,0.00000084
7Be,7.016928278,0.00000084
7B,7.029919021,0.000075911
8He,8.033921062,0.000007593
8Li,8.022485644,0.000000856
8Be,8.00530512,0.000000117
8B,8.0246058,0.000001308
8C,8.037675267,0.000025902
9He,9.043810669,0.000128825
9Li,9.026788958,0.000002116
9Be,9.012182153,0.000000424
9B,9.013328832,0.000001055
9C,9.031039405,0.000002361
10Li,10.03632297,0.000268384
10Be,10.01353409,0.000000428
10B,10.01293695,0.000000319
10C,10.01685639,0.000000511
10N,10.042621,0.000429
11Li,11.04390957,0.00011376
11Be,11.02165761,0.000006782
11B,11.00930539,0.000000387
11C,11.01143327,0.000000957
11N,11.0267442,0.00016103
12Be,12.02692095,0.000016109
12B,12.01435259,0.000001413
12C,12,0
12N,12.01861303,0.000001074
12O,12.03442127,0.000047844
13Be,13.037518,0.000537
13B,13.01778018,0.000001141
13C,13.00335483,0.000000017
13N,13.0057386,0.00000029
13O,13.02481003,0.000010227
14Be,14.044036,0.000322
14B,14.02540383,0.000022773
14C,14.00324198,0.000000027
14N,14.003074,0.000000026
14O,14.00859533,0.000000084
14F,14.036078,0.000429
15B,15.03110014,0.000024022
15C,15.01059924,0.000000859
15N,15.00010897,0.000000042
15O,15.00306545,0.000000541
15F,15.01800582,0.000143648
16B,16.040409,0.000537
16C,16.01470121,0.000003841
16N,16.0060999,0.000002476
16O,15.99491463,0.000000051
16F,16.01146561,0.000008933
16Ne,16.02575285,0.000021299
17B,17.047249,0.000752
17C,17.02257294,0.000037585
17N,17.0084496,0.000016129
17O,16.99913122,0.000000443
17F,17.00209505,0.000000254
17Ne,17.01769467,0.00005372
18C,18.02672095,0.000144033
18N,18.01408148,0.00002149
18O,17.9991603,0.000000915
18F,18.00093738,0.000000718
18Ne,18.00571029,0.000005003
18Na,18.027181,0.000429
19C,19.035171,0.000259
19N,19.01703971,0.000019956
19O,19.0035772,0.000003038
19F,18.99840322,0.00000015
19Ne,19.00187974,0.000000626
19Na,19.01387932,0.000012906
20C,20.04083,0.000977
20N,20.023721,0.000429
20O,20.00407546,0.000002236
20F,19.99998139,0.000000216
20Ne,19.99243564,0.000002153
20Na,20.00734363,0.000007469
20Mg,20.01886396,0.000028996
21N,21.027968,0.000644
21O,21.0087261,0.000054945
21F,20.99994848,0.000008079
21Ne,20.9938428,0.000002144
21Na,20.99765048,0.000002247
21Mg,21.01171621,0.000017639
22O,22.01013589,0.000093848
22F,22.00303378,0.000032254
22Ne,21.99138313,0.000001766
22Na,21.9944341,0.000001815
22Mg,21.99957428,0.000001641
22Al,22.01937029,0.000096632
23O,23.018738,0.000669
23F,23.00360123,0.000182522
23Ne,22.99446544,0.00000278
23Na,22.98976771,0.000001017
23Mg,22.99412441,0.000001557
23Al,23.00726494,0.000026847
24F,24.009394,0.00043
24Ne,23.99361274,0.00001088
24Na,23.99096136,0.000001016
24Mg,23.9850423,0.000000787
24Al,23.99994122,0.000004295
24Si,24.01154601,0.000020919
25F,25.013464,0.000537
25Ne,24.99768564,0.000102074
25Na,24.98995307,0.000006844
25Mg,24.98583739,0.000000805
25Al,24.99042901,0.000001165
25Si,25.00410885,0.000010757
26Ne,26.0004724,0.000077299
26Na,25.99258612,0.000017511
26Mg,25.98259373,0.000000817
26Al,25.98689222,0.000000834
26Si,25.99233033,0.000003292
26P,26.012083,0.000322
27Ne,27.007249,0.000432
27Na,26.99393701,0.000046917
27Mg,26.9843412,0.000000976
27Al,26.9815386,0.000000758
27Si,26.98670393,0.000000804
27P,26.99919114,0.000037575
28Na,27.99877655,0.000154356
28Mg,27.98387675,0.000002277
28Al,27.98191025,0.000000759
28Si,27.97692711,0.000000681
28P,27.99231281,0.000004083
28S,28.00443647,0.000171767
29Na,29.00282918,0.000161668
29Mg,28.98848263,0.000031938
29Al,28.98044558,0.000005575
29Si,28.97649493,0.00000068
29P,28.98180304,0.000001948
29S,28.99661046,0.000053677
30Na,30.00879815,0.00026453
30Mg,29.99022934,0.000228414
30Al,29.98293961,0.00004281
30Si,29.97377013,0.00000068
30P,29.97830666,0.000001827
30S,29.9849028,0.00000323
30Cl,30.005193,0.000322
31Na,31.01267925,0.000621399
31Mg,30.995926,0.000435
31Al,30.98379533,0.00007182
31Si,30.97536215,0.000000753
31P,30.97376199,0.000000646
31S,30.97955432,0.00000163
31Cl,30.99241475,0.000053678
32Na,32.01774822,0.000795284
32Mg,31.99810251,0.001700393
32Al,31.987997,0.000322
32Si,31.97414834,0.000002617
32P,31.97390681,0.000000648
32S,31.9720707,0.000000252
32Cl,31.98569017,0.000008166
32Ar,31.99766057,0.000053677
33Na,33.02302933,0.001220097
33Mg,33.004219,0.000539
33Al,32.990048,0.000433
33Si,32.97791736,0.000053701
33P,32.9717252,0.000001626
33S,32.97145843,0.000000229
33Cl,32.97745151,0.000000793
33Ar,32.98992962,0.000032207
34Na,34.02859829,0.003833403
34Mg,34.007453,0.000818
34Al,33.995322,0.000537
34Si,33.97868179,0.000322063
34P,33.97363617,0.000001316
34S,33.96786665,0.000000223
34Cl,33.97376287,0.000000287
34Ar,33.9802692,0.000003234
34K,33.998412,0.000322
35Mg,35.014559,0.000692
35Al,34.998456,0.000543
35Si,34.984393,0.000437
35P,34.97322828,0.000080516
35S,34.96903183,0.000000229
35Cl,34.96885273,0.000000069
35Ar,34.97525623,0.000001352
35K,34.98801055,0.000021508
36Al,36.004199,0.000647
36Si,35.986297,0.000429
36P,35.97757496,0.000059045
36S,35.96708062,0.000000271
36Cl,35.96830691,0.000000076
36Ar,35.96754552,0.000000291
36K,35.98129255,0.000008358
36Ca,35.99308751,0.00004296
37Si,36.992489,0.000537
37P,36.979499,0.000322
37S,36.97112554,0.000000281
37Cl,36.96590262,0.000000112
37Ar,36.96677632,0.00000062
37K,36.973377,0.000001531
37Ca,36.9858726,0.000024038
38Si,37.994995,0.000644
38P,37.98426,0.00043
38S,37.97116243,0.000012883
38Cl,37.96801053,0.000000155
38Ar,37.96273251,0.00000087
38K,37.96908037,0.000000966
38Ca,37.9763179,0.000005047
38Sc,37.995212,0.000322
39P,38.986792,0.00043
39S,38.975305,0.000216
39Cl,38.96800475,0.000019978
39Ar,38.96431393,0.000005506
39K,38.96370738,0.000001227
39Ca,38.97071821,0.000002258
39Sc,38.984782,0.000215
40P,39.99182,0.000538
40S,39.97582449,0.000037824
40Cl,39.9704352,0.00053677
40Ar,39.96238368,0.00000136
40K,39.96399918,0.000001229
40Ca,39.96259059,0.000001264
40Sc,39.97796335,0.000004575
40Ti,39.99026957,0.000011876
41S,40.980819,0.000322
41Cl,40.97058796,0.000171772
41Ar,40.96450101,0.000001462
41K,40.96182541,0.000001233
41Ca,40.96227773,0.000001263
41Sc,40.9692503,0.000001659
41Ti,40.98314615,0.000042973
42S,41.982371,0.000432
42Cl,41.973782,0.000219
42Ar,41.963047,0.000042963
42K,41.96240186,0.000001635
42Ca,41.95861758,0.000001311
42Sc,41.96551366,0.000001379
42Ti,41.97303105,0.000005983
42V,41.991174,0.000322
43Cl,42.97516384,0.000064558
43Ar,42.96566992,0.000075273
43K,42.96071677,0.000010818
43Ca,42.95876616,0.000001336
43Sc,42.96115008,0.000002515
43Ti,42.96852269,0.000007514
43V,42.980761,0.000215
44Cl,43.978517,0.000324
44Ar,43.96536525,0.000021906
44K,43.96155561,0.000038434
44Ca,43.95548061,0.000001404
44Sc,43.95940386,0.0000024
44Ti,43.9596897,0.000001471
44V,43.974451,0.000107
44Cr,43.98580883,0.000193242
45Ar,44.96809482,0.000064558
45K,44.96069645,0.000011483
45Ca,44.95618536,0.000001417
45Sc,44.95590999,0.00000142
45Ti,44.95812428,0.00000298
45V,44.96578067,0.000018326
45Cr,44.97910654,0.000161058
46Ar,45.96809265,0.000043894
46K,45.96197554,0.000016679
46Ca,45.95368949,0.000004075
46Sc,45.95516999,0.000001426
